Runtime,Version,Bug type,Bug title,Bug URL,Submission Date,Resolved Date,Status,Labels,Confirmed
Bun,1.3.11,Cross runtime,http2.connect fails with IP address due to certificate verification (UNABLE_TO_VERIFY_LEAF_SIGNATURE) ,https://github.com/oven-sh/bun/issues/28716,31-03-2026,,Open,bug,✓
Deno,2.7.9,Cross runtime,process.argv[0] does not return path to executable in Deno,https://github.com/denoland/deno/issues/33095,31-03-2026,31-03-2026,Closed as completed,,✓
Deno,2.7.9,Cross runtime,crypto.createCipheriv().update does not throw on large input (2**31 - 1),https://github.com/denoland/deno/issues/33096,31-03-2026,08-04-2026,Closed as completed,"node compat, bug",✓
Deno,2.7.9,Cross runtime,fs.watch with recursive:true does not trigger events in node:fs,https://github.com/denoland/deno/issues/33102,31-03-2026,10-05-2026,Closed as completed,"node compat, bug",✓
Deno,2.7.9,Cross runtime,fs.watch throws uncatchable error when given non-existent file as parameter ,https://github.com/denoland/deno/issues/33103,31-03-2026,10-05-2026,Closed as completed,"node compat, bug",✓
Bun,1.3.11,Cross runtime,Error.captureStackTrace returns truncated stack trace,https://github.com/oven-sh/bun/issues/28734,31-03-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,Error importing ES module with an encoded comma in the URL,https://github.com/oven-sh/bun/issues/28745,01-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,bun run prints help instead of executing .cjs scripts that use child_process.spawn,https://github.com/oven-sh/bun/issues/28747,01-04-2026,05-04-2026,Closed as duplicate,bug,✓
Bun,1.3.11,Cross runtime,[http] Request hangs after 100-continue response in Bun,https://github.com/oven-sh/bun/issues/28749,01-04-2026,05-04-2026,Closed as duplicate,bug,✓
Deno,2.7.9,Cross runtime,tty.ReadStream throws Error,https://github.com/denoland/deno/issues/33117,01-04-2026,01-04-2026,Closed,"node compat, bug",✓
Bun,1.3.11,Cross runtime,url.format() in Bun does not decode auth credentials correctly after url.parse(),https://github.com/oven-sh/bun/issues/28751,01-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,AbortSignal.timeout() + util.aborted() causes unbounded memory growth,https://github.com/oven-sh/bun/issues/28756,01-04-2026,14-04-2026,Closed as completed,bug,✓
Deno,2.7.9,Cross runtime,AbortSignal.timeout() + util.aborted() causes unbounded memory growth,https://github.com/denoland/deno/issues/33125,01-04-2026,17-05-2026,Closed as completed,"node compat, bug",✓
Bun,1.3.11,Cross runtime,cluster.send() loses socket handle when sending large messages,https://github.com/oven-sh/bun/issues/28759,01-04-2026,05-04-2026,Closed as duplicate,bug,✓
Bun,1.3.11,Cross runtime,assert.deepEqual / deepStrictEqual does not throw for unequal Sets,https://github.com/oven-sh/bun/issues/28760,01-04-2026,,Open,bug,✓
Deno,2.7.9,Cross runtime,HTTP server hangs on malformed chunked request (incomplete chunk not rejected),https://github.com/denoland/deno/issues/33135,02-04-2026,17-04-2026,Closed as completed,"node compat, bug",✓
Bun,1.3.11,Cross runtime,HTTP server hangs on malformed chunked request (incomplete chunk not rejected),https://github.com/oven-sh/bun/issues/28775,02-04-2026,05-04-2026,Closed as duplicate,bug,✓
Bun,1.3.11,Cross runtime,Worker accepts invalid file:// URL instead of throwing an error,https://github.com/oven-sh/bun/issues/28861,04-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,"pyodide.mjs throws Cannot determine runtime environment when run under Bun, even though it works in Node ",https://github.com/oven-sh/bun/issues/28864,04-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,fs.rmSync returns EFAULT instead of EISDIR when removing a directory without recursive,https://github.com/oven-sh/bun/issues/28958,07-04-2026,,Open,bug,✓
Node,24.13.1,Cross runtime,fs.readSync does not validate invalid position type (accepts object instead of throwing),https://github.com/nodejs/node/issues/62638,08-04-2026,15-04-2026,Closed as completed,fs,✓
Deno,2.7.11,Regression,ChildProcess.kill() does not indicate failure when process has already exited,https://github.com/denoland/deno/issues/33206,08-04-2026,18-04-2026,Closed as completed,"node compat, bug",✓
Bun,1.3.11,Cross runtime,ChildProcess.kill() does not indicate failure when process has already exited,https://github.com/oven-sh/bun/issues/29001,08-04-2026,29-06-2026,Closed as completed,bug,✓
Bun,1.3.11,Cross runtime,fs.readSync does not validate invalid position type (accepts object instead of throwing),https://github.com/oven-sh/bun/issues/29016,08-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,tty.WriteStream.prototype.isTTY missing,https://github.com/oven-sh/bun/issues/29019,08-04-2026,,Open,bug,✓
Deno,2.7.11,Regression,"Deno.customInspect is not respected by console.log(""%o"", value) ",https://github.com/denoland/deno/issues/33216,08-04-2026,25-042026,Closed as completed,working as designed,
Bun,1.3.11,Cross runtime,MessagePort missing removeListener method (Node.js EventEmitter incompatibility) ,https://github.com/oven-sh/bun/issues/29022?reload=1,08-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,assert.deepStrictEqual ignores prototype differences,https://github.com/oven-sh/bun/issues/29030,08-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,Worker error event ignores preventDefault() and still terminates,https://github.com/oven-sh/bun/issues/29043,08-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,os.freemem() returns inconsistent values vs Node,https://github.com/oven-sh/bun/issues/29072,09-04-2026,10-04-2026,Closed,bug,✓
Bun,1.3.11,Cross runtime,node:http2.createServer fails for h2c (cleartext HTTP/2),https://github.com/oven-sh/bun/issues/29073,09-04-2026,18-04-2026,Closed,bug,✓
Bun,1.3.11,Cross runtime,"Response([1,2,3]).text() produces incorrect output (""123"" instead of ""1,2,3"")",https://github.com/oven-sh/bun/issues/29074,09-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,Worker.terminate() in Bun behaviorally different from Node ,https://github.com/oven-sh/bun/issues/29077?reload=1,09-04-2026,13-04-2026,Closed as duplicate,bug,✓
Bun,1.3.11,Cross runtime,Bun throws Error instead of AggregateError on Promise.reject within Promise.any ,https://github.com/oven-sh/bun/issues/29157,11-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,Bun accepts TypeScript syntax (export enum) in data:application/javascript modules instead of throwing SyntaxError,https://github.com/oven-sh/bun/issues/29159,11-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,"fetch().body.getReader({ mode: ""byob"" }) throws instead of supporting Web Streams BYOB reader",https://github.com/oven-sh/bun/issues/29162,03-11-1979,,Closed as duplicate,bug,✓
Bun,1.3.11,Cross runtime,Bun process does not exit after Tinypool destroy() completes (worker threads remain alive) ,https://github.com/oven-sh/bun/issues/29173,11-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,Inconsistent validation of percent-encoded file URLs compared to Node.js,https://github.com/oven-sh/bun/issues/29174,11-04-2026,,Open,bug,✓
Deno,2.7.11,Regression,nodejs-polars give different output in Deno compared to Node,https://github.com/denoland/deno/issues/33236,11-04-2026,16-04-2026,Closed as completed,node compat,✓
Bun,1.3.11,Cross runtime,Very slow console.log on large sparse arrays compared to Node and Deno,https://github.com/oven-sh/bun/issues/29175,11-04-2026,13-05-2026,Closed as completed,bug,✓
Deno,2.7.11,Regression,fs.readFile() on non-terminating sources never settles and can consume unbounded memory.,https://github.com/denoland/deno/issues/33237,11-04-2026,25-04-2026,Closed as completed,"node compat, bug",✓
Bun,1.3.11,Cross runtime,fs.readFile() on non-terminating sources never settles and can consume unbounded memory.,https://github.com/oven-sh/bun/issues/29184,11-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,Worker: self.close() is not defined ,https://github.com/oven-sh/bun/issues/29186,11-04-2026,,Open,bug,✓
Deno,2.7.11,Regression,deno lint errors on process global ,https://github.com/denoland/deno/issues/33238,11-04-2026,25-04-2026,Closed as completed,working as designed,
Deno,2.7.11,Regression,Client network socket disconnected before secure TLS connection was established,https://github.com/denoland/deno/issues/33242,11-04-2026,17-04-2026,Closed as completed,"node compat, bug",✓
Bun,1.3.11,Cross runtime,signal-exit onExit callback not triggered in Bun during process shutdown ,https://github.com/oven-sh/bun/issues/29194,11-04-2026,15-04-2026,Closed as duplicate,bug,✓
Bun,1.3.11,Cross runtime,fetch() does not throw when invalid values are passed,https://github.com/oven-sh/bun/issues/29195,11-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,Decorators on accessor class fields fail to parse in Bun ,https://github.com/oven-sh/bun/issues/29197,11-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,Emscripten pthread-based WASM module fails to initialize in Bun while working in Node,https://github.com/oven-sh/bun/issues/29211,12-04-2026,,Open,bug,✓
Bun,1.3.11,Cross runtime,"Bun does not emit ServerResponse ""close"" event on client disconnect during active HTTP response",https://github.com/oven-sh/bun/issues/29219,12-04-2026,16-04-2026,Closed as duplicate,bug,✓
Bun,1.3.11,Cross runtime,Dynamic import resolves before module evaluation completes when using top-level await,https://github.com/oven-sh/bun/issues/29221,12-04-2026,27-04-2026,Closed as completed,bug,✓
